"cluster_size","cluster_id"
"1",485856
"1",485857
"1",485858
"1",485859
"2",485860
"1",485862
"1",485863
"1",485864
"1",485866
"1",485868
"1",485869
"1",485870
"1",485871
"1",485872
"1",485873
"3",485874
"2",485878
"1",485881
"1",485882
"1",485883
"1",485884
"3",485885
"1",485886
"1",485887
"1",485888
"23",485889
"1",485897
"3",485898
"1",485900
"1",485901
"2",485902
"1",485904
"1",485905
"1",485906
"1",485907
"1",485908
"1",485909
"1",485910
"1",485911
"1",485912
"1",485913
"1",485914
"1",485915
"1",485917
"1",485918
"1",485919
"1",485920
"1",485921
"1",485922
"2",485923
"3",485925
"1",485928
"1",485929
"1",485930
"1",485931
"1",485932
"1",485933
"1",485934
"1",485935
"3",485936
"1",485939
"1",485940
"2",485941
"1",485943
"7",485944
"1",485951
"2",485952
"1",485954
"1",485955
"2",485956
"1",485958
"1",485959
"1",485960
"1",485961
"1",485962
"1",485963
"1",485964
"8",485965
"1",485973
"1",485974
"2",485975
"4",485977
"2",485981
"2",485983
"1",485985
"1",485986
"1",485987
"1",485988
"1",485989
"1",485990
"1",485991
"1",485992
"3",485993
"3",485996
"1",485997
"2",485998
"1",486000
"1",486001
"1",486002
"1",486003
"1",486004
"1",486005
"8",486006
"4",486016
"1",486020
"1",486021
"12",486022
"3",486034
"2",486037
"3",486039
"1",486042
"1",486043
"1",486044
"1",486045
"1",486046
"2",486047
"4",486049
"2",486053
"23",486055
"2",486078
"1",486080
"1",486081
"1",486082
"1",486083
"2",486084
"1",486086
"2",486087
"2",486089
"8",486090
"1",486098
"1",486099
"1",486100
"1",486102
"4",486103
"1",486107
"1",486108
"1",486109
"2",486110
"1",486112
"1",486113
"1",486114
"1",486115
"1",486116
"3",486117
"2",486120
"1",486122
"1",486123
"1",486124
"1",486125
"1",486126
"1",486127
"1",486128
"1",486129
"1",486130
"3",486131
"2",486134
"1",486136
"2",486137
"1",486139
"1",486140
"1",486141
"1",486142
"2",486143
"1",486145
"1",486146
"1",486147
"1",486148
"3",486149
"1",486152
"1",486153
"4",486154
"1",486158
"2",486159
"1",486161
"1",486162
"1",486163
"1",486164
"1",486165
"1",486166
"1",486167
"1",486168
"3",486169
"1",486172
"3",486173
"1",486176
"4",486177
"1",486181
"1",486182
"1",486183
"2",486184
"1",486186
"2",486187
"1",486189
"1",486190
"1",486191
"1",486192
"1",486193
"1",486194
"1",486195
"1",486196
"1",486197
"1",486198
"1",486199
"1",486200
"1",486201
"3",486202
"1",486205
"1",486206
"1",486207
"1",486208
"1",486209
"1",486210
"1",486211
"1",486212
"6",486213
"1",486219
"3",486220
"1",486223
"1",486224
"1",486225
"1",486226
"1",486227
"1",486228
"47",486229
"1",486230
"3",486245
"2",486255
"2",486256
"1",486284
"1",486285
"1",486286
"1",486287
"1",486288
"2",486289
"2",486291
"2",486293
"1",486295
"1",486296
"2",486297
"1",486299
"1",486300
"3",486301
"4",486302
"1",486303
"1",486304
"1",486305
"1",486308
"1",486309
"1",486310
"1",486311
"1",486312
"1",486316
"1",486317
"1",486318
"4",486319
"1",486323
"1",486324
"1",486325
"1",486327
"2",486328
"1",486330
"1",486331
"1",486332
"2",486333
"1",486335
"1",486336
"1",486337
"1",486338
"1",486339
"1",486340
"1",486341
"2",486342
"2",486344
"4",486346
"1",486350
"15",486351
"2",486365
"1",486368
"2",486369
"2",486371
"1",486373
"1",486374
"1",486375
"1",486376
"8",486377
"4",486385
"1",486389
"6",486390
"1",486396
"4",486397
"1",486401
"1",486402
"5",486403
"2",486408
"1",486410
"1",486411
"2",486412
"1",486414
"1",486415
"1",486416
"1",486417
"2",486418
"2",486420
"1",486421
"2",486422
"1",486424
"2",486426
"2",486428
"2",486429
"1",486431
"2",486432
"1",486434
"3",486436
"3",486439
"1",486442
"1",486443
"2",486444
"1",486446
"1",486447
"1",486448
"4",486449
"1",486453
"1",486454
"4",486455
"1",486459
"3",486460
"1",486463
"1",486464
"3",486465
"1",486468
"2",486470
"2",486472
"1",486474
"1",486475
"1",486476
"2",486477
"1",486479
"1",486480
"1",486481
"1",486482
"1",486483
"1",486484
"1",486485
"3",486486
"1",486489
"1",486490
"3",486491
